Year,Risk_Factors,Deaths_A,Dead_B
2000,unsafe_sex,953743.6942,953744
2000,low_physical_activity,6351837.677,6351838
2000,smoking,2349425.559,2349426
2000,alcohol,399074.8586,399075
2000,drug_use,4324898.2,4324898
2000,diabetes,7932073.943,7932074
2000,high_blood_pressure,1727905.469,1727905
2000,unsafe_water,1315192.214,1315192
2000,unsafe_sanitation,2314854.156,2314854
2000,air_pollution,2552798.2,2552798
2001,unsafe_sex,967277.0082,967277
2001,low_physical_activity,6382733.902,6382734
2001,smoking,2385905.324,2385905
2001,alcohol,405362.8774,405363
2001,drug_use,4438142.543,4438143
2001,diabetes,8029451.543,8029452
2001,high_blood_pressure,1682357.015,1682357
2001,unsafe_water,1277426.292,1277426
2001,unsafe_sanitation,2262796.548,2262797
2001,air_pollution,2596355.38,2596355
2002,unsafe_sex,989123.6477,989124
2002,low_physical_activity,6444008.309,6444008
2002,smoking,2443612.781,2443613
2002,alcohol,414358.0392,414358
2002,drug_use,4611053.543,4611054
2002,diabetes,8188714.686,8188715
2002,high_blood_pressure,1638128.167,1638128
2002,unsafe_water,1240534.972,1240535
2002,unsafe_sanitation,2218646.043,2218646
2002,air_pollution,2653391.61,2653392
2003,unsafe_sex,1009107.006,1009107
2003,low_physical_activity,6500340.707,6500341
2003,smoking,2494699.766,2494700
2003,alcohol,423709.2334,423709
2003,drug_use,4787898.524,4787899
2003,diabetes,8325151.221,8325151
2003,high_blood_pressure,1596385.848,1596386
2003,unsafe_water,1205163.982,1205164
2003,unsafe_sanitation,2172350.595,2172351
2003,air_pollution,2706991.96,2706992
2004,unsafe_sex,1009221.106,1009221
2004,low_physical_activity,6450954.751,6450955
2004,smoking,2518388.904,2518389
2004,alcohol,433106.5906,433107
2004,drug_use,4880129.558,4880130
2004,diabetes,8321914.696,8321915
2004,high_blood_pressure,1561987.644,1561988
2004,unsafe_water,1174027.895,1174028
2004,unsafe_sanitation,2109307.172,2109307
2004,air_pollution,2714489.07,2714489
2005,unsafe_sex,1026950.571,1026951
2005,low_physical_activity,6457486.751,6457487
2005,smoking,2562559.799,2562560
2005,alcohol,447740.285,447740
2005,drug_use,5016361.945,5016362
2005,diabetes,8440626.756,8440627
2005,high_blood_pressure,1536826.824,1536827
2005,unsafe_water,1149262.178,1149262
2005,unsafe_sanitation,2057468.406,2057468
2005,air_pollution,2738822.82,2738823
2006,unsafe_sex,1023921.036,1023921
2006,low_physical_activity,6375847.554,6375848
2006,smoking,2544467.646,2544468
2006,alcohol,452485.8341,452486
2006,drug_use,5056877.019,5056877
2006,diabetes,8416624.125,8416624
2006,high_blood_pressure,1523674.684,1523675
2006,unsafe_water,1132528.956,1132529
2006,unsafe_sanitation,2002416.138,2002416
2006,air_pollution,2756217.38,2756217
2007,unsafe_sex,1034939.776,1034940
2007,low_physical_activity,6383033.915,6383034
2007,smoking,2562325.476,2562325
2007,alcohol,458612.3074,458612
2007,drug_use,5135848.389,5135848
2007,diabetes,8503613.801,8503614
2007,high_blood_pressure,1503844.158,1503844
2007,unsafe_water,1109838.767,1109839
2007,unsafe_sanitation,1961085.424,1961085
2007,air_pollution,2807283.47,2807283
2008,unsafe_sex,1059395.939,1059396
2008,low_physical_activity,6447767.153,6447767
2008,smoking,2621392.287,2621392
2008,alcohol,467883.4028,467883
2008,drug_use,5258887.049,5258887
2008,diabetes,8699254.174,8699254
2008,high_blood_pressure,1491461.978,1491462
2008,unsafe_water,1089920.305,1089920
2008,unsafe_sanitation,1927176.022,1927176
2008,air_pollution,2887186.83,2887187
2009,unsafe_sex,1077823.426,1077823
2009,low_physical_activity,6495294.182,6495294
2009,smoking,2628366.75,2628367
2009,alcohol,474179.7575,474180
2009,drug_use,5361133.733,5361134
2009,diabetes,8863423.503,8863424
2009,high_blood_pressure,1489789.499,1489789
2009,unsafe_water,1077637.575,1077638
2009,unsafe_sanitation,1897357.343,1897357
2009,air_pollution,2960814.94,2960815
2010,unsafe_sex,1103728.162,1103728
2010,low_physical_activity,6569515.346,6569515
2010,smoking,2677117.845,2677118
2010,alcohol,481085.006,481085
2010,drug_use,5480476.47,5480476
2010,diabetes,9081676.32,9081676
2010,high_blood_pressure,1483731.657,1483732
2010,unsafe_water,1061903.157,1061903
2010,unsafe_sanitation,1869568.125,1869568
2010,air_pollution,3037813.35,3037813
2011,unsafe_sex,1121225.521,1121226
2011,low_physical_activity,6615962.057,6615962
2011,smoking,2652024.866,2652025
2011,alcohol,488733.8298,488734
2011,drug_use,5597446.696,5597447
2011,diabetes,9239375.173,9239375
2011,high_blood_pressure,1431184.379,1431184
2011,unsafe_water,1012279.945,1012280
2011,unsafe_sanitation,1832880.494,1832880
2011,air_pollution,3119026.79,3119027
2012,unsafe_sex,1139594.967,1139595
2012,low_physical_activity,6663081.086,6663081
2012,smoking,2667932.256,2667932
2012,alcohol,496855.4929,496855
2012,drug_use,5727642.572,5727643
2012,diabetes,9410997.059,9410997
2012,high_blood_pressure,1374545.908,1374546
2012,unsafe_water,957813.2057,957813
2012,unsafe_sanitation,1824696.213,1824696
2012,air_pollution,3090711.98,3090712
2013,unsafe_sex,1153171.055,1153171
2013,low_physical_activity,6673225.404,6673225
2013,smoking,2673153.393,2673153
2013,alcohol,508271.6435,508272
2013,drug_use,5842881.612,5842882
2013,diabetes,9535296.958,9535297
2013,high_blood_pressure,1322082.215,1322082
2013,unsafe_water,902564.8107,902565
2013,unsafe_sanitation,1771869.513,1771870
2013,air_pollution,3140220.85,3140221
2014,unsafe_sex,1176347.619,1176348
2014,low_physical_activity,6764715.825,6764716
2014,smoking,2706466.692,2706467
2014,alcohol,526924.9122,526925
2014,drug_use,6002241.778,6002242
2014,diabetes,9756852.926,9756853
2014,high_blood_pressure,1282539.799,1282540
2014,unsafe_water,854076.1423,854076
2014,unsafe_sanitation,1744033.091,1744033
2014,air_pollution,3176113.07,3176113
2015,unsafe_sex,1215129.403,1215129
2015,low_physical_activity,6936294.573,6936295
2015,smoking,2773307.329,2773307
2015,alcohol,549156.8439,549157
2015,drug_use,6218325.333,6218325
2015,diabetes,10070692.4,10070692
2015,high_blood_pressure,1245322.727,1245323
2015,unsafe_water,810246.0167,810246
2015,unsafe_sanitation,1705654.026,1705654
2015,air_pollution,3318502.52,3318503
2016,unsafe_sex,1242710.433,1242710
2016,low_physical_activity,7046703.251,7046703
2016,smoking,2817609.639,2817610
2016,alcohol,572922.967,572923
2016,drug_use,6399256.514,6399257
2016,diabetes,10293777.65,10293778
2016,high_blood_pressure,1220145.311,1220145
2016,unsafe_water,779071.6073,779072
2016,unsafe_sanitation,1696332.02,1696332
2016,air_pollution,3317660.44,3317660
2017,unsafe_sex,1263051.288,1263051
2017,low_physical_activity,7099111.294,7099111
2017,smoking,2842854.196,2842854
2017,alcohol,585348.1802,585348
2017,drug_use,6526028.193,6526028
2017,diabetes,10440818.48,10440818
2017,high_blood_pressure,1232368.284,1232368
2017,unsafe_water,774240.9861,774241
2017,unsafe_sanitation,1640599.784,1640600
2017,air_pollution,3408877.62,3408878
